Unnamed: 0,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
49,Wyoming,52337,425022,0.12313950807252301,29,131,0.22137404580152698,,0.0,,0.0,,,,,,,,,,,,,,,,55.410130500410794,27.368957698861
0,Alabama,395753,3662910,0.108043331667991,163,680,0.239705882352941,,0.0,,0.0,,,,,,,,,,,,,,,,41.1873062238315,15.824155374228999
1,Alaska,72407,517799,0.139836114013353,27,142,0.190140845070423,24.0,0.8888888888888891,3.0,0.111111111111111,4.0,,,5.0,,,3.0,,,4.0,,,5.0,,6.0,37.2892123689698,25.819951862628898
2,Arizona,533608,4842927,0.11018295340813498,242,1091,0.221814848762603,,0.0,,0.0,,,,,,,,,,,,,,,,45.3516439033898,19.701488796721698
3,Arkansas,238790,2221409,0.10749483773586901,89,447,0.19910514541387,89.0,1.0,0.0,0.0,,,11.0,,,,,,31.0,,,,14.0,,33.0,37.2712425143431,18.0569236953747
4,California,1910994,28292703,0.067543705527181,706,3923,0.179964313025746,679.0,0.961756373937677,27.0,0.038243626062323,20.0,,,,,80.0,,,,,,250.0,,,356.0,36.9441243666908,12.194054600481
5,Colorado,411754,3857537,0.106740129777109,170,879,0.19340159271899898,166.0,0.9764705882352941,4.0,0.023529411764706,8.0,,,14.0,,,25.0,,,28.0,,,37.0,,58.0,41.2867877421956,20.5758749172539
6,Connecticut,225987,2768440,0.08162972648856401,54,364,0.148351648351648,,0.0,,0.0,,,,,,,,,,,,,,,,23.895179811228104,12.192949092864302
7,Delaware,77885,699180,0.111394776738465,17,116,0.146551724137931,15.0,0.8823529411764699,2.0,0.11764705882352902,1.0,,,2.0,,,2.0,,,3.0,,,4.0,,5.0,21.8270527059126,15.9344594757724
8,Florida*,1571482,15012091,0.10468108673202198,642,2789,0.23019003226963103,,0.0,,0.0,,,,,,,,,,,,,,,,40.853156447226205,15.9739785600489
9,Georgia,686591,7279776,0.094314852544914,218,1133,0.192409532215357,,0.0,,0.0,12.0,,,20.0,,,22.0,,,37.0,,,50.0,,77.0,31.751071598666396,13.8779664153213
10,Hawaii,109218,1034113,0.10561515037524902,27,207,0.130434782608696,,0.0,,0.0,,,,,,,,,,,,,,,,24.721199802230398,19.461668621843604
11,Idaho,121382,1155068,0.10508645378453901,68,290,0.23448275862068998,67.0,0.9852941176470591,1.0,0.014705882352941001,4.0,,,3.0,,,,,22.0,,,,17.0,,22.0,56.0214858875286,21.4765412320569
12,Illinois,719528,9752324,0.073780157427091,191,1183,0.16145393068470001,,0.0,,0.0,,,,,,,,,,,,,,,,26.5451796177494,10.982203074219802
13,Indiana,458943,4915722,0.09336227719956501,164,861,0.19047619047619,162.0,0.9878048780487799,2.0,0.012195121951219998,,7.0,,,11.0,,,22.0,,,36.0,,,62.0,,35.7342850855117,15.6390972045058
14,Iowa,226737,2336891,0.09702506449808698,83,370,0.22432432432432398,,0.0,,0.0,,,,,,,,,,,,,,,,36.6062883428818,13.600903062051401
15,Kansas,210240,2132796,0.098574828534937,72,400,0.18,70.0,0.9722222222222221,2.0,0.027777777777778,6.0,,,6.0,,,4.0,,,9.0,,,16.0,,31.0,34.2465753424658,17.0606213811197
16,Kentucky,311073,3330313,0.09340653566196302,124,641,0.19344773790951603,,0.0,,0.0,,,,,,,,,,,,,,,,39.8620259553224,17.1235145268346
17,Louisiana,312953,3442258,0.09091503309746099,106,564,0.18794326241134804,,0.0,,0.0,,11.0,,,6.0,,,18.0,,,11.0,,,60.0,,33.870900742284,14.635837670025802
18,Maine,128940,1056250,0.12207337278106499,30,198,0.15151515151515196,,0.0,,0.0,,,,,,,,,,,,,,,,23.266635644485802,18.1169188297333
19,Maryland,425963,4457846,0.09555354761021399,90,504,0.178571428571429,,0.0,,0.0,4.0,,,10.0,,,6.0,,,21.0,,,12.0,,37.0,21.1285956761503,10.268155102715
20,Massachusetts,386609,5177318,0.074673605136868,59,597,0.09882747068676699,57.0,0.966101694915254,2.0,0.033898305084746,0.0,,,3.0,,,7.0,,,6.0,,,6.0,,27.0,15.260896668210002,11.2300705386196
21,Michigan,671051,7579088,0.088539808483554,217,1274,0.17032967032967,216.0,0.995391705069124,1.0,0.004608294930875999,12.0,,,13.0,,,25.0,,,1.0,,,45.0,,81.0,32.337333526065805,15.3010182197924
22,Minnesota,366790,4065374,0.09022294135791699,112,625,0.1792,109.0,0.9732142857142858,3.0,0.026785714285714003,5.0,,,6.0,,,21.0,,,25.0,,,24.0,,36.0,30.535183620055104,13.870173017565598
23,Mississippi,201148,2215005,0.09081153315681,76,382,0.198952879581152,73.0,0.9605263157894741,3.0,0.039473684210526,3.0,,,6.0,,,10.0,,,10.0,,,9.0,,38.0,37.783124863284705,15.1947233592057
24,Missouri***,490162,4578570,0.10705569642923402,180,873,0.206185567010309,177.0,0.983333333333333,3.0,0.016666666666667,6.0,,,12.0,,,24.0,,,33.0,,,33.0,,72.0,36.722552951881205,16.9503630753095
25,Montana,94872,772072,0.122879731424012,55,224,0.245535714285714,53.0,0.9636363636363641,2.0,0.036363636363636,2.0,,,,,11.0,,,,,,21.0,,,21.0,57.972847626275396,24.9556999409333
26,Nebraska,146104,1377398,0.106072464167946,34,185,0.183783783783784,,0.0,,0.0,,,,,,,,,,,,,,,,23.2710945627772,12.2635211411734
27,Nevada,228213,2049720,0.111338621860547,122,554,0.220216606498195,,0.0,,0.0,3.0,,,7.0,,,12.0,,,17.0,,,34.0,,52.0,53.458830127994496,23.7166258488164
28,New Hampshire,115297,1037312,0.111149779429911,33,203,0.16256157635468,33.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,28.621733436255898,18.437877908710803
29,New Jersey,444887,6771714,0.06569784252554099,92,668,0.137724550898204,89.0,0.9673913043478259,3.0,0.032608695652174,2.0,,,3.0,,,8.0,,,9.0,,,15.0,,55.0,20.679408479007,9.104089617117712
30,New Mexico,177041,1555130,0.113843215679718,83,423,0.196217494089835,78.0,0.939759036144578,5.0,0.060240963855422006,8.0,,,6.0,,,9.0,,,14.0,,,11.0,,35.0,46.8817957422292,24.671846303105198
31,New York,917741,15160932,0.060533283837695996,244,1557,0.15671162491971696,235.0,0.963114754098361,9.0,0.036885245901639004,9.0,,,9.0,,,30.0,,,118.0,,,67.0,,11.0,26.5870218285987,9.218439884714039
32,North Carolina,740470,7285172,0.101640702511897,207,1171,0.17677198975234804,198.0,0.956521739130435,11.0,0.053140096618358,9.0,,,18.0,,,26.0,,,22.0,,,50.0,,82.0,27.9552176320445,14.729471257820402
33,North Dakota**,55556,527822,0.105255180723805,25,104,0.240384615384615,25.0,1.0,0.0,0.0,2.0,,,4.0,,,4.0,,,4.0,,,5.0,,6.0,44.99964000288,16.7278609935926
34,Ohio,876163,8842889,0.099081080854911,270,1274,0.21193092621664003,267.0,0.9888888888888892,3.0,0.011111111111111,5.0,,,26.0,,,21.0,,,49.0,,,66.0,,103.0,30.8161837466316,12.602416601248699
35,Oklahoma,319724,2837898,0.11266225917915301,141,637,0.221350078492936,,0.0,,0.0,5.0,,,14.0,,,17.0,,,28.0,,,35.0,,42.0,44.100536712914895,19.696812055084397
36,Oregon,319194,3007303,0.10613962078314,150,683,0.21961932650073202,144.0,0.96,6.0,0.04,1.0,,,9.0,,,24.0,,,23.0,,,34.0,,59.0,46.993364536927395,19.8280650077806
37,Pennsylvania,954659,9976032,0.095695262404932,285,1574,0.18106734434561603,276.0,0.9684210526315791,9.0,0.031578947368421,,,,,,,,,,,,,,,,29.85359170133,14.288290706968901
38,Rhode Island,71863,829243,0.08666096668889599,18,127,0.14173228346456698,,0.0,,0.0,,,,,,,,,,,,,,,,25.0476601310828,14.3917188201431
39,South Carolina,398985,3563610,0.111960904812816,158,645,0.24496124031007802,150.0,0.949367088607595,8.0,0.05063291139240499,8.0,,,7.0,,,15.0,,,27.0,,,26.0,,57.0,39.600486233818295,15.388869139313499
40,South Dakota,70027,618454,0.113229116474305,25,123,0.203252032520325,,0.0,,0.0,,,,,,,,,,,,,,,,35.700515515444,17.8692879818098
41,Tennessee,486407,4896267,0.09934241739676401,190,941,0.20191285866099898,189.0,0.9947368421052629,1.0,0.005263157894737001,8.0,,,17.0,,,13.0,,,28.0,,,52.0,,72.0,39.0619378421774,17.030019093576698
42,Texas,1593072,18617868,0.08556683289407802,527,2889,0.182416060920734,504.0,0.9563567362428841,23.0,0.043643263757115996,,53.0,,,42.0,,,84.0,,,96.0,,,247.0,,33.0807396024787,13.873881366919198
43,Utah,146806,1930847,0.076031917598857,71,468,0.15170940170940198,68.0,0.957746478873239,3.0,0.042253521126761,0.0,,,0.0,,,0.0,,,14.0,,,16.0,,31.0,48.3631459204665,22.2528518122622
44,Vermont,51373,499809,0.102785263970837,18,124,0.145161290322581,17.0,0.944444444444444,1.0,0.055555555555556,0.0,,,0.0,,,0.0,,,4.0,,,5.0,,9.0,35.037860354661,23.6377097289245
45,Virginia,734757,6137315,0.119719616803113,197,981,0.200815494393476,190.0,0.9644670050761421,7.0,0.035532994923858,4.0,,,17.0,,,20.0,,,37.0,,,37.0,,81.0,26.811585326849602,14.511644298867301
46,Washington,597778,5194460,0.115079912060156,207,955,0.216753926701571,196.0,0.946859903381642,11.0,0.053140096618358,9.0,,,18.0,,,26.0,,,22.0,,,50.0,,82.0,34.6282399151524,16.2726070674456
47,West Virginia,155581,1467977,0.105983268130223,70,277,0.252707581227437,67.0,0.957142857142857,3.0,0.042857142857142996,1.0,,,6.0,,,8.0,,,13.0,,,17.0,,25.0,44.9926404895199,15.772678368419301
48,Wisconsin,413735,4383985,0.094374182393416,167,791,0.21112515802781304,,0.0,,0.0,6.0,,,8.0,,,15.0,,,33.0,,,48.0,,57.0,40.364001111822795,15.7168944021157
49,Wyoming,52415,430554,0.121738504345564,30,132,0.22727272727272702,,0.0,0.0,0.0,,,,,,,,,,,,,,,,57.235524182009,26.974207897096
